username,followers,bio,shortcode,caption,likesCount,commentsCount,viewCount,videoUrl,timestamp
minaaaparkerx,108273,check my highlights✨,DdXRswosxw9,don’t lie pls,334,26,20278,https://scontent-bru2-1.cdninstagram.com/o1/v/t16/f2/m84/AQPg_DG_pn_tlDOCFTPpoosBO4BuK2ldQCNnWogFqczgxxtk23WWTpYhF5Nkr_eDuVhdfx-Ej_7aFMISfPpUeo0J_B2_AF00U99m3jk.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_ohc=ZmJLZxZM10wQ7kNvwFW8n1i&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NDQ4OTgxNzg3MTMzNDI0MCwiYXNzZXRfYWdlX2RheXMiOjIsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=c306734a026656b7&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9GMDRCQkIyRkYyQTQ4MzNCM0M5QkQ0MjQ3ODg2NzlBMl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzVGNDI1Q0ZGRkMyMjQ0Qjc2Q0MxNDk5NTA0MDhFOEE3X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbA7Z315d35DxUCKAJDMywXQBQAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=G-9oFKMLUo78TNHlUvISkw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQK-blpnMaeL1Zz5IKCaQLpNdzqthGQIt3dMy4Tnk9aYgQ&oe=6AB06AF4,1789594960
minaaaparkerx,108273,check my highlights✨,DdPLitSsbFD,"would u be mad? 😩

#fyp#explore#usa",1230,80,23052,https://scontent-bru2-1.cdninstagram.com/o1/v/t16/f2/m84/AQN0KC7R97bEFdgZeNYPpzsXThWWmnfJzn-j_80tdnQCIr8ZFWj5RQm3-IFQyW4-JOI-lDJzHfL5UWRcoEP6vIRrVdfMRRI0acdTL7s.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_ohc=lzV86TnjqHwQ7kNvwGg0IIk&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MzM3MDQxMzIwMzEzNzIzMiwiYXNzZXRfYWdlX2RheXMiOjUsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo5LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=93cd2e43d4516b79&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC80MTREMTkzNThBRDg3Njk4REM4RDk5MjkwNjFGMjhCNF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0I0NEY4RTE5ODY0REE2MkMwQjM0RUI0MDlGMUNCMUE2X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACagi8Gb79f8CxUCKAJDMywXQCK7ZFocrAgYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=G-9oFKMLUo78TNHlUvISkw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLermzWOUePNroEIWMVLhuuE4lfyCpeTkYCPJwTI7khZA&oe=6AB07177,1789323335
minaaaparkerx,108273,check my highlights✨,DdU3niRMF38,"heyy

#fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp #explore#usa#reels#viral",840,35,19160,https://scontent-bru2-1.cdninstagram.com/o1/v/t16/f2/m84/AQPsrrj-_FzaHA9wIl4hMRQ66A5eL7MIxzi5KFEGimzV4KYPhETNnAdPfkkTtmeL_sxQc10iA3bz6IteQ_iN8yfmtluKHbVH5FkNapE.mp4?_nc_cat=107&_nc_sid=5e9851&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_ohc=szFv4IbgE9QQ7kNvwHSJ90e&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTQxOTc0NzY5MzQxOTQ4NCwiYXNzZXRfYWdlX2RheXMiOjMsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=ae0c65d57d38b2ef&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9GRjQ4NkFGODQ3REY0MjlCNEE0NEIxQjZCREEwRTU4Ml92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzNBNDgwNEIyM0M3NzY5QzlCQkFCMUZDMjkwREYwMkFDX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa47_7OmNCFBRUCKAJDMywXQBaIMSbpeNUYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=G-9oFKMLUo78TNHlUvISkw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLePfmoYj8Z39s5P_oLJHAC21lFNWw900tAp7oOhp-9fw&oe=6AB06571,1789514211
minaaaparkerx,108273,check my highlights✨,DdU3eRCsmEf,where are they?,290,18,11031,https://scontent-bru2-1.cdninstagram.com/o1/v/t16/f2/m84/AQMje1LB-Ksu-bNFYFWJvCd0guNZ2n0qrkr0T-zhcQIIGqW0rIKP5vz5nTnh7GIKWXWNPGV-AqzuWo_lB79BMX6C58fw2jK5AGng4n0.mp4?_nc_cat=106&_nc_sid=5e9851&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_ohc=SXSsz5z8FCUQ7kNvwG0uwd9&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTk2NzM5MTYyNDIzNTQ3MiwiYXNzZXRfYWdlX2RheXMiOjMsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoxMywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=41c3a45fbe973831&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9GNzQxOUNERDI5MkFFOUM0Qjk2RTREQUU2NTE5NzZCOF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0VCNEY2QTVCQThBMDY0RTM4Mzc0MTQxQkY5ODc2Q0IzX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACagp6zuodX-BhUCKAJDMywXQCszMzMzMzMYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=G-9oFKMLUo78TNHlUvISkw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQJUjOfI7YJUOTptlF43ykhHZc38Em4RcKLoweWnLqa52A&oe=6AB04196,1789514117
minaaaparkerx,108273,check my highlights✨,DdR2vOsMkux,,12476,209,266293,https://scontent-bru2-1.cdninstagram.com/o1/v/t16/f2/m84/AQPX6pfjCMc7IKkUfsGraCFcClSupSoD-DCYRGbbENLJ7i33txUBacwebeJZGst2NhN1NHgHOxJNwLC2HuJIeR2iBSMThsi7nI2fszk.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_ohc=oxwBjdJ_1aUQ7kNvwFTx3Ph&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MzA3MDM3NjI0OTk3MDIwMiwiYXNzZXRfYWdlX2RheXMiOjQsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo5LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=52e8c6adf50ffda3&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9FNzRGMzdFNDI1Q0E0NkQ3Mzc1Q0E2MEMzRDUwMkNCNF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzg0NDVBNzRDNjdDNzhFQTI4RjdDMUUyMTFGMDdFN0E1X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa0uKbbtZ_0ChUCKAJDMywXQCPdsi0OVgQYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=G-9oFKMLUo78TNHlUvISkw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLZXRbsj33bxjYAzs7uWydpd0ZZXxJLI_LsX_fASGyIDw&oe=6AB07140,1789413054
minaaaparkerx,108273,check my highlights✨,DdRsU0Dsp-j,send to that person😋,2652,115,119778,https://scontent-bru2-1.cdninstagram.com/o1/v/t16/f2/m84/AQPUK0cm7CZ2NLlU6_EmepERtOJJeO2PeBZxKTJQK6TFuUmscFkHd_x8XL_O-D3L8nX1X4YUTjPjs-7nYQK4CLFTDTKcDAzzHXbSB5Y.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_ohc=IrKGWFD8z_8Q7kNvwHxkYmj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6Mjg4MTA1MzIxODg1NzI5MTksImFzc2V0X2FnZV9kYXlzIjo0LCJ2aV91c2VjYXNlX2lkIjoxMDgyNywiZHVyYXRpb25fcyI6NywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=219c959491bb860&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC81MzQ2NTIyRDEwNkIyMTQwM0RBMzY1MzNGRkYyNTNBMl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0JCNDE0N0Y5ODlCQjFBQTM1NjkwQ0E3QzM0MEVCN0JCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbus56O2MGtZhUCKAJDMywXQBwAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=G-9oFKMLUo78TNHlUvISkw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLH5kxm2oCUUs47-Pxezt4nW2xP8d7DvAr7FNfcYums9w&oe=6AB04BDC,1789407613
minaaaparkerx,108273,check my highlights✨,DdRg9kFsr10,#fyp#explore#usa#reels#american,583,7,33305,https://scontent-bru2-1.cdninstagram.com/o1/v/t16/f2/m84/AQOo9DIbDojmMgBmpV4X_UAEK8vCPPQjcTue8hhCIES1zB12EZ3QPOiT17LIcYHAP5vlzuMYPUMpTaQIJ5WmUO5jr0aad0Q_WP4HLFc.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_ohc=PmNZxBuTus0Q7kNvwEyKDPD&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTc0ODE1NDM1MzE3OTk1NSwiYXNzZXRfYWdlX2RheXMiOjQsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoxMCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=145bb43966001690&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8zODQ2MTM3Q0VBMjdBOTAxMTdDNzUwRkM3MDFERUM4Q192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzM4NEI3QkQ3MURFRjg1NTRDNjVFRDFCMUVBODA0NjkwX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbm9N7z_PuaBhUCKAJDMywXQCQhysCDEm8YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=G-9oFKMLUo78TNHlUvISkw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLIjVsNPVcXmObTA-sH0LqOMmGYHxpV2uGqz2czHUJTMg&oe=6AB05090,1789401690
minaaaparkerx,108273,check my highlights✨,DdPG-wNswR9,got ya 😋,4332,257,158987,https://scontent-bru2-1.cdninstagram.com/o1/v/t16/f2/m84/AQOEsF9KmZkJalY7T14vz_etjDS9JBIdYiAlYmH8KuF5ayZzLPSn0Asfj2qWp1v9iyNaJhEqq-D0bijqSmJU_jyC_u-5Y7Z9qtlf4As.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_ohc=gNtw2OnD7LYQ7kNvwEVc7mK&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTA1MTY4MTc4MDk4OTMyNiwiYXNzZXRfYWdlX2RheXMiOjUsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoxNywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=b7f9d7c82a80d807&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9EMDQ3RDU2MEZFMEY2NTRFM0U4MTBBQkY4MTVBODg4N192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0VGNEY4MjA2RTNDMUZBMDUwQkI5QTY1QjNDOTdCQ0FEX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACac9sfv95_eAxUCKAJDMywXQDGKfvnbItEYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=G-9oFKMLUo78TNHlUvISkw&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQIcqXaC0ZXm0q-SvcBFnuu5ZzItzvht8UTupXa6Y4sEIg&oe=6AB063D8,1789320963
minaaaparkerx,108273,check my highlights✨,DdN_eLOsnJB,🤷‍♀️,1451,508,49496,https://scontent-arn2-1.cdninstagram.com/o1/v/t16/f2/m84/AQO3OT_PFbbn3i219Cpdj6QWmzovkOSw3tbaB9vJMbAhLQZcRTvxX0svRsGu9_UPlV8L9o4wazQeQfJujQUc9l_46bwl2AH5WNQG_iE.mp4?_nc_cat=107&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=fm3KCZZ6wmAQ7kNvwHtlyVG&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTYyMTkxMjQ0NjI5NTEwNiwiYXNzZXRfYWdlX2RheXMiOjYsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoxOSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=84f43609d65f4248&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8yNjQ2M0Y5Qzk3REYyMjhEQzI4MEQ0RTA1OTA2NjA5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzM2NENDQ0VCNzBDMEVCOUVGRjlEOEVGMjZEODFCQTkxX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaE8b6z3cfhBRUCKAJDMywXQDMiDEm6XjUYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=IoedUuSzsp61FqfQdVex5Q&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQKioQDyrO1kGzUc9xrmAeZUlFcN82VAonkeqqL7QwUVhg&oe=6AB05331,1789283438
minaaaparkerx,108273,check my highlights✨,DdN_PPsMSLl,💅💅💅,272,1,22563,https://scontent-arn2-1.cdninstagram.com/o1/v/t16/f2/m84/AQP3YwxZ14_0t4oiod0n2XrT0Cu4vRbhF8yZHQeJgpVnL7wuY3zAAIOschb-T_kU8dBx25t6rrHu1TQ-CcaNiOohFqHi8TUY4csALy4.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=J2aBJ0C2ivkQ7kNvwHJPSyk&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTA0NjM1NDQ4ODE3NTgzNywiYXNzZXRfYWdlX2RheXMiOjYsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=8d01981dc4793cc1&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC81MzQxMjE1QTYyQjYzQzU2RjBDNzIxMTQ2ODJCMDJCNV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0E2NDdERkNGMEI1QTIwODJBNTAzOUE3QzM2OEZFODhEX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACa6s5257OnbAxUCKAJDMywXQCAQ5WBBiTcYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=IoedUuSzsp61FqfQdVex5Q&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQKhOM_km-TPfYLY2pwgXG-upkzHrU6KnhPZYPzOgHlAyw&oe=6AB04F6C,1789283304
minaaaparkerx,108273,check my highlights✨,DdMh6mMs_Bu,😘,472,12,22543,https://scontent-arn2-1.cdninstagram.com/o1/v/t16/f2/m84/AQNgLs_INBTaCoVnDJZe0ayNbhNtgU2tNew1pNNpTalSnD47LR9LqRJ4NPoAWUA1ABQoPfMKcFqQXK4ZzvOM_S9tHgvG1OGOt7ODz6M.mp4?_nc_cat=103&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=3zOue92Ix7wQ7kNvwFcc7xt&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjUzOTU2NzgxMzE3MzEyMSwiYXNzZXRfYWdlX2RheXMiOjYsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoxMSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=acfd4f68bde1dbf1&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9DRjQ0N0NFQTM0MTBFRTYyNTAxNTU2QjA1QjJDRTU4Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzAzNEUyRkRGREYzRjZDRDlBMTUyODQ0OEM3NkRFNEE2X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaC_pjWpu6CCRUCKAJDMywXQCYhysCDEm8YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=IoedUuSzsp61FqfQdVex5Q&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQIjRqOMxcSoZzQZ2HleBBU6teDaudDxhK8iRrdm_Lr9cg&oe=6AB06F15,1789234383
minaaaparkerx,108273,check my highlights✨,DdMSEvKMP8k,Hmm,392,27,24211,https://scontent-arn2-1.cdninstagram.com/o1/v/t16/f2/m84/AQNXwepuMPwq7jGJ2xxd4p39Rfv2kb0UVCHz-DqF4zSrf4V_gm3foUXyT3ocsrYTJqPt0MIbXe3OhUKTDiiRou4_74rL5ybSKfn8Pl0.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=KMclpL5xJY0Q7kNvwFUyQAj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTcwNzU5MzM1MDMyMjgyNSwiYXNzZXRfYWdlX2RheXMiOjYsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjo3LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=69a964b91ee0a133&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC80QTRFNjZFNkI3RjEzQTA1NEE2Q0VFN0U0RjcxM0I5NV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzhCNEI2RjVERDc0Qjg2NTUzMUY3NzExNTFBNjM0REE4X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaS6ojxgcOIBhUCKAJDMywXQByp--dsi0QYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=IoedUuSzsp61FqfQdVex5Q&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLSkt1X62l79JJIDGVYIMjb2g90H7Cdz9TiwbM1yHv41Q&oe=6AB03AE8,1789226072
minaaaparkerx,108273,check my highlights✨,DdK6n36IMWi,,437,12,19973,https://scontent-arn2-1.cdninstagram.com/o1/v/t16/f2/m84/AQN2YXi6Ykw5jV3N4kF7gLcfpbMVkNQZODbti_SvF8LYpHTXGIQj6xGpfKY48u0YOUIXNOWCImoAxnwLukZZ60PAOz-fs3N475ZX-ks.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-arn2-1.cdninstagram.com&_nc_ohc=jO99-3AbOqUQ7kNvwGCr5gZ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTgwOTgxNTExMDE4OTkyMSwiYXNzZXRfYWdlX2RheXMiOjcsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoxNCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=9dffbbbd31c323a&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC9BNjRFMDhCMjk3MUYxODFFMDYyRUJFOUQ3NjcyRkE5RV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzk3NDNBRTYwRUQwODYzNTNDMUE5QjM2QzlEMTJGMkJFX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbCjYSsjYG3BhUCKAJDMywXQCzdsi0OVgQYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZZapAQA&_nc_gid=IoedUuSzsp61FqfQdVex5Q&_nc_ss=7a3ba&_nc_zt=28&oh=00_AQLktNmUyWeITL6TyDgX7lbbh5nGpMR-zflVE_wd9q0sew&oe=6AB06ACD,1789180212
